shelter,address,city,county,state,zip,longitude,latitude,phone,accepting,notes,source,private_notes,allow_pets,pets,unofficial,accessibility,active
Zion Church Of Christ,"625 ALLEN STREET, , OWENSBORO, KY  42303",OWENSBORO,DAVIESS,KY,42303,-87.11082042,37.77032129,2706833811,no,General Notes: Fellowship hall for dining + classrms for sleeping. + sleeping in basement -not handicap. also has old gym that could be used. cot # could be higher. Next door 3rd Bapt which could be used.,SHAKEN_FURY_2019_BATCH_1_ID:33843,"Evacuation Capacity: 119

Longterm Capacity: 59",false,No,false,"",true
Sulphur Springs Baptist Church,"2504 Sulpher Springs Church Road, , FRANKLIN, KY  42134",FRANKLIN,SIMPSON,KY,42134,-86.67655204,36.71140702,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33854,"Evacuation Capacity: 0

Longterm Capacity: 39",false,No,false,"",true
Mount Washington Annex Building,"186 Branham Way, , MOUNT WASHINGTON, KY  40047",MOUNT WASHINGTON,BULLITT,KY,40047,-85.5427388,38.044781,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33858,"Evacuation Capacity: 125

Longterm Capacity: 62",false,Unknown,false,"",true
Sheperdsville Christian Church,"337 Lee's Valley Road, , Shepherdsville, KY  40165",Shepherdsville,Bullitt,KY,40165,-85.69217415,38.00411617,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33859,"Evacuation Capacity: 100

Longterm Capacity: 0",false,Unknown,false,"",true
Eagle Heights Baptist Church,"2944 Highway 44 East, , Shepherdsville, KY  40165",Shepherdsville,Bullitt,KY,40165,-85.65562394,38.01175786,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33862,"Evacuation Capacity: 113

Longterm Capacity: 0",false,Unknown,false,"",true
Eastside Baptist Church,"301 Lee's Valley Road, , Shepherdsville, KY  40165",Shepherdsville,Bullitt,KY,40165,-85.6917116,38.00352323,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33865,"Evacuation Capacity: 113

Longterm Capacity: 0",false,Unknown,false,"",true
Family Worship Center,"217 Salt Well Road, , Shepherdsville, KY  40165",Shepherdsville,Bullitt,KY,40165,-85.75687684,37.99930224,5025434444,no,General Notes: Could consider pet facilities in Red Cross Bullitt County Shepherdsville Office right behind Family Worship Center.,SHAKEN_FURY_2019_BATCH_1_ID:33866,"Evacuation Capacity: 300

Longterm Capacity: 150",true,Yes,false,"",true
Paroquet Springs Conference Center,"395 Paroquet Springs Drive, , Shepherdsville, KY  40165",Shepherdsville,Bullitt,KY,40165,-85.70584857,37.98737109,5025438687,no,"",SHAKEN_FURY_2019_BATCH_1_ID:33867,"Evacuation Capacity: 500

Longterm Capacity: 250",false,Unknown,false,"",true
Saint Benedict Church,"211 West Oak, , LEBANON JUNCTION, KY  40150",LEBANON JUNCTION,BULLITT,KY,40150,-85.73016849,37.83576854,5028334886,no,"",SHAKEN_FURY_2019_BATCH_1_ID:33869,"Evacuation Capacity: 50

Longterm Capacity: 25",false,Unknown,false,"",true
Bethel United Methodist Church,"7357 KY Highway 44 East, , MOUNT WASHINGTON, KY  40047",MOUNT WASHINGTON,BULLITT,KY,40047,-85.5965398,38.0319832,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33870,"Evacuation Capacity: 75

Longterm Capacity: 0",false,Unknown,false,"",true
First Christian Church,"317 Fairlane Drive, , MOUNT WASHINGTON, KY  40047",MOUNT WASHINGTON,BULLITT,KY,40047,-85.54396661,38.0531502,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:33956,"Evacuation Capacity: 125

Longterm Capacity: 0",false,Unknown,false,"",true
St Francis Xavier Church Bldg 1,"155 Stringer Lane, , MOUNT WASHINGTON, KY  40047",MOUNT WASHINGTON,BULLITT,KY,40047,-85.5476786,38.04241507,5025384933,no,"",SHAKEN_FURY_2019_BATCH_1_ID:33957,"Evacuation Capacity: 420

Longterm Capacity: 210",false,Unknown,false,"",true
Perryville Baptist Church,"204 East Second Street, , Perryville, KY  40468",Perryville,Boyle,KY,40468,-84.9493249,37.6502863,8593328721,no,"",SHAKEN_FURY_2019_BATCH_1_ID:34053,"Evacuation Capacity: 135

Longterm Capacity: 67",true,Yes,false,"",true
Seventh Day Adventists Church,"2288 TAMARACK ROAD, , Owensboro, KY  42301",Owensboro,Daviess,KY,42301,-87.14405812,37.73176767,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:34080,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Russell High School,"137 Grove Street, , Russell, KY  41169",Russell,Greenup,KY,41169,-82.69446966,38.53375508,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:36772,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Lone Oak United Methodist Church,"3835 Old US Highway 45, , Paducah, KY  42003",Paducah,McCracken,KY,42003,-88.6708273,37.0234609,"",no,Directions to Facility: Jason Jones - 270-554-1272 till 3pm till POC ; 270-978-2815 - Cell,SHAKEN_FURY_2019_BATCH_1_ID:37570,"Evacuation Capacity: 0

Longterm Capacity: 50

Additional Notes: Located in office",false,No,false,"",true
Little Sandy Fire Department Station #2,"252 Cardinal Point Road, , Greenup, KY  41144",Greenup,Greenup,KY,41144,-82.869058,38.5278629,"",no,General Notes: Route 2,SHAKEN_FURY_2019_BATCH_1_ID:38935,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
West Irvine Elementary School,"155 RIVERVIEW ROAD, , Irvine, KY  40336",Irvine,Estill,KY,40336,-83.988194,37.7001132,6067234800,no,"",SHAKEN_FURY_2019_BATCH_1_ID:39033,"Evacuation Capacity: 500

Longterm Capacity: 250",false,No,false,"",true
Heartland Worship Center,"4777 Alben Barkley Drive, , Paducah, KY  42001",Paducah,McCracken,KY,42001,-88.661753,37.05994,"",no,General Notes: Remapped 2/26/19 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:39055,"Evacuation Capacity: 88

Longterm Capacity: 0

Additional Notes: Upon Availability",false,No,false,"",true
Crawford Middle School,"1813 Charleston Drive, , Lexington, KY  40505",Lexington,Fayette,KY,40505,-84.43384893,38.05091114,8593813370,no,"",SHAKEN_FURY_2019_BATCH_1_ID:39128,"Evacuation Capacity: 281

Longterm Capacity: 140",false,No,false,"",true
New Zion Baptist Church,"2796 Wadesboro Road South, , Benton, KY  42025",Benton,Marshall,KY,42025,-88.3768374,36.788739,2704374654,no,"",SHAKEN_FURY_2019_BATCH_1_ID:40576,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Calloway County Fire Station #1,"101 E. Sycamore St, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.2979328,36.6020311,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:41582,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Cadiz United Methodist Church,"482 Lakota, , Cadiz, KY  42211",Cadiz,Trigg,KY,42211,-87.8104848,36.86224,2705226237,no,"",SHAKEN_FURY_2019_BATCH_1_ID:41715,"Evacuation Capacity: 230

Longterm Capacity: 0",false,No,false,"",true
Caldwell Blue Springs Baptist Church,"Highway 139, , Cadiz, KY  42211",Cadiz,Trigg,KY,42211,-87.8355786,36.8650079,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:41716,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Trigg County Board of Education,"205 Main Street, , Cadiz, KY  42211",Cadiz,Trigg,KY,42211,-87.79893384,36.86718903,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:41717,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Trigg County Recreation Complex,"303 Complex Road, , Cadiz, KY  42211",Cadiz,Trigg,KY,42211,-87.835738,36.890342,"",no,General Notes: Large metal building with siding next to horse coral.,SHAKEN_FURY_2019_BATCH_1_ID:41718,"Evacuation Capacity: 190

Longterm Capacity: 95",false,Unknown,false,"",true
Blood River Baptist Church,"4974 Dunbar Road, , New Concord, KY  42076",New Concord,Calloway,KY,42076,-88.0947662,36.58914235,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:42358,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Centenary United Methodist Church,"2800 Tates Creek Road, , LEXINGTON, KY  40502",LEXINGTON,FAYETTE,KY,40502,-84.494434,38.008744,8592692800,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42662,"Evacuation Capacity: 540

Longterm Capacity: 270

Additional Notes: WE WOULD MAKE THE FACILITY AVAILABLE AS MUCH AS POSSIBLE. WE WOULD NEED TO WORK AROUND BASKETBALL.",false,Unknown,false,"",true
Bryan Station High School,"201 Eastin Road, , Lexington, KY  40505",Lexington,Fayette,KY,40505,-84.4564647,38.0669521,8593813308,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42673,"Evacuation Capacity: 405

Longterm Capacity: 202",false,No,false,"",true
Henry Clay High School,"2100 Fontaine Road, , LEXINGTON, KY  40502",LEXINGTON,FAYETTE,KY,40502,-84.469199,38.017145,8593813423,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42674,"Evacuation Capacity: 550

Longterm Capacity: 275",false,No,false,"",true
Strode Station Elementary School,"1750 Martin Luther King Jr Dr, , Winchester, KY  40391",Winchester,Clark,KY,40391,-84.21704218,38.00152739,8597453915,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42685,"Evacuation Capacity: 225

Longterm Capacity: 112",false,No,false,"",true
Estill County High School,"397 Engineer Road, , Irvine, KY  40336",Irvine,Estill,KY,40336,-83.9879325,37.7336666,6067233537,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42686,"Evacuation Capacity: 150

Longterm Capacity: 75",false,No,false,"",true
Powell County Middle School,"770 W College Ave, , Stanton, KY  40380",Stanton,Powell,KY,40380,-83.8711789,37.8464799,6066633308,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42687,"Evacuation Capacity: 147

Longterm Capacity: 73",false,No,false,"",true
Central Baptist Church,"101 WEST LEXINGTON AVENUE, , Winchester, KY  40391",Winchester,Clark,KY,40391,-84.1795549,37.9926965,8597444328,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42688,"Evacuation Capacity: 110

Longterm Capacity: 55",false,No,false,"",true
Christ The King,"299 Colony Boulivard, , Lexington, KY  40502",Lexington,Fayette,KY,40502,-84.48820504,38.0222886,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:42689,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Powell County High School,"700 W College Ave, , Stanton, KY  40380",Stanton,Powell,KY,40380,-83.8711789,37.8464799,6066633320,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42690,"Evacuation Capacity: 146

Longterm Capacity: 73",false,No,false,"",true
Estill Springs Elementary School,"314 MAIN STREET, , IRVINE, KY  40336",IRVINE,ESTILL,KY,40336,-83.9752016,37.6992158,6067237703,no,General Notes: Remapped 3/2/17 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:42691,"Evacuation Capacity: 150

Longterm Capacity: 75",false,No,false,"",true
Leestown Middle School,"2010 Leestown Road, , Lexington, KY  40511",Lexington,Fayette,KY,40511,-84.53314859,38.07202739,8593813181,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42692,"Evacuation Capacity: 243

Longterm Capacity: 121",false,No,false,"",true
Southern Acres Christian Church,"301 Harvard Drive, , Lexington, KY  40517",Lexington,Fayette,KY,40517,-84.52229,37.979823,8595232273,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42693,"Evacuation Capacity: 191

Longterm Capacity: 95",false,No,false,"",true
Clay City Elementary School,"4091 Main Street, , Clay City, KY  40312",Clay City,Powell,KY,40312,-83.9142596,37.855432,6066633404,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42694,"Evacuation Capacity: 210

Longterm Capacity: 105",false,No,false,"",true
Stanton Elementary School,"123 Breckinridge Street, , Stanton, KY  40380",Stanton,Powell,KY,40380,-83.8609882,37.8516413,6066633311,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42696,"Evacuation Capacity: 100

Longterm Capacity: 50",false,No,false,"",true
South Irvine Elementary School,"1000 S. Irvine Rd, , Irvine, KY  40336",Irvine,Estill,KY,40336,-83.9779993,37.6836356,6067234700,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42699,"Evacuation Capacity: 100

Longterm Capacity: 50",false,No,false,"",true
Heritage Baptist Church,"163 North Ashland Avenue, , Lexington, KY  40502",Lexington,Fayette,KY,40502,-84.4817772,38.037518,8593355433,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42700,"Evacuation Capacity: 144

Longterm Capacity: 72",false,No,false,"",true
Trinity Baptist Church,"1675 Strader Drive, , LEXINGTON, KY  40505",LEXINGTON,FAYETTE,KY,40505,-84.458114,38.037726,"",no,General Notes: Have no showers. Remapped 5/4/18 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:42708,"Evacuation Capacity: 296

Longterm Capacity: 148",false,No,false,"",true
George Rogers Clark High School,"620 BOONESBORO RD., , Winchester, KY  40391",Winchester,Clark,KY,40391,-84.2670045,37.9124822,8597446111,no,"",SHAKEN_FURY_2019_BATCH_1_ID:42723,"Evacuation Capacity: 573

Longterm Capacity: 286",false,No,false,"",true
National Guard Armory Ravenna,"335 Cow Creek Rd., , Ravenna, KY  40472",Ravenna,Estill,KY,40472,-83.9457843,37.6880193,6067234216,no,General Notes: 12/14/2018 Joe Sanderson will approve on an event basis. Can be contacted through KYEM Duty Officer 800-255-2587,SHAKEN_FURY_2019_BATCH_1_ID:42728,"Evacuation Capacity: 190

Longterm Capacity: 95",false,Unknown,false,"",true
First Baptist Activity Center,"1002 Main Street, , Paris, KY  40361",Paris,Bourbon,KY,40361,-84.2535184,38.2081,8599873790,no,Directions to Facility: At the corner of 10th and Main Streets.,SHAKEN_FURY_2019_BATCH_1_ID:42960,"Evacuation Capacity: 137

Longterm Capacity: 68",false,No,false,"",true
Grand River Methodist Church,"190 West Tennessee Avenue, , Grand Rivers, KY  42045",Grand Rivers,Livingston,KY,42045,-88.2323125,37.0006535,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:43414,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Gospel Mission Worship Center,"6905 Benton Road, , PADUCAH, KY  42003",PADUCAH,MCCRACKEN,KY,42003,-88.5109421,36.9926741,"",no,General Notes: Remapped 12/28/16 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:43544,"Evacuation Capacity: 0

Longterm Capacity: 75

Restrictions: Gym will be split between sheltering and feeding. Other areas may be available upon request.",false,Unknown,false,"",true
Goshen United Methodit Church,"4726 State Route 121 North, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.39504975,36.64038132,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:44309,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Good Sheperd United Methodist Church,"84 Cherry Corner Road, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.23754239,36.58042449,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:44313,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Calloway County East Elementary School,"1169 Pottertown Road, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.24200896,36.62450289,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:44322,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Lynn Grove United Methodist Church,"218 Brown's Grove Road, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.43971606,36.59267375,"",no,General Notes: Spoke w Judy Kelso who is listed on the paper copy and says she is the contact have to verify with church who is active contact. Contacted Crawford multiple times # in record get no answer.,SHAKEN_FURY_2019_BATCH_1_ID:44349,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Weaks Community Center,"607 Poplar Street, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.30599725,36.60871179,2707530929,no,"",SHAKEN_FURY_2019_BATCH_1_ID:44476,"Evacuation Capacity: 0

Longterm Capacity: 50",false,Unknown,false,"",true
Elm Grove Baptist Church,"6483 State Route 94 East, , MURRAY, KY  42071",MURRAY,CALLOWAY,KY,42071,-88.21303525,36.64941501,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:44485,"Evacuation Capacity: 200

Longterm Capacity: 0",false,Unknown,false,"",true
Mary Queen Of The Holy Rosary,"605 Hill N' Dale Road, , Lexington, KY  40503",Lexington,Fayette,KY,40503,-84.53727834,38.01451423,8592773030,no,"",SHAKEN_FURY_2019_BATCH_1_ID:44753,"Evacuation Capacity: 267

Longterm Capacity: 133",true,Yes,false,"",true
Beechland Baptist Church,"4613 Greenwood Road, , LOUISVILLE, KY  40258",LOUISVILLE,JEFFERSON,KY,40258,-85.8431149,38.14366858,5029351313,no,"Directions to Facility: See Google Maps

General Notes: Pet shelter space: grassy area behind counseling ministry building.",SHAKEN_FURY_2019_BATCH_1_ID:46284,"Evacuation Capacity: 206

Longterm Capacity: 103

Restrictions: Not available as a shelter from Dec. 1 through Feb. 28 each year because of church basketball tournament. Exercise room is restricted.",true,Yes,false,"",true
Buechel Park Baptist Church,"2403 Hikes Lane, , LOUISVILLE, KY  40218",LOUISVILLE,JEFFERSON,KY,40218,-85.6565519,38.2012613,"",no,"Directions to Facility: Grassy area beside parking lot; area is not fenced

General Notes: Mapped 10/24/2014 MAS NSS. Other Areas: Room 2 - 40"" x 30"" Fellowship Hall: 48"" x 56""",SHAKEN_FURY_2019_BATCH_1_ID:46285,"Evacuation Capacity: 253

Longterm Capacity: 126

Restrictions: none",true,Yes,false,"",true
Beulah Presbyterian Church,"6704 Bardstown Road, , LOUISVILLE, KY  40291",LOUISVILLE,JEFFERSON,KY,40291,-85.58728678,38.14980736,5022393231,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46286,"Evacuation Capacity: 190

Longterm Capacity: 95",false,Unknown,false,"",true
Buckner Alternative High School,"1350 North Highway 393, , Buckner, KY  40010",Buckner,Oldham,KY,40010,-85.4365191,38.3892175,5022223767,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46287,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
Cable Missionary Baptist Church,"314 South Wenzel Street, , LOUISVILLE, KY  40204",LOUISVILLE,JEFFERSON,KY,40204,-85.73436769,38.25067134,5025848742,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46288,"Evacuation Capacity: 225

Longterm Capacity: 112",false,Unknown,false,"",true
Cedar Creek Baptist Church,"7709 Bardstown Road, , LOUISVILLE, KY  40291",LOUISVILLE,JEFFERSON,KY,40291,-85.57997156,38.13510829,5022392129,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46289,"Evacuation Capacity: 282

Longterm Capacity: 141

Restrictions: Hosts school during August thru May; will need to evaluate on a situational basis",false,No,false,"",true
Central Hardin High School,"3040 Leitchfield Road, , Cecilia, KY  42724",Cecilia,Hardin,KY,42724,-85.9064902,37.6738678,2707376800,no,Directions to Facility: Pet sheltering arrangements available through Dog Warden and Pound,SHAKEN_FURY_2019_BATCH_1_ID:46290,"Evacuation Capacity: 667

Longterm Capacity: 333",true,Yes,false,"",true
JCPS Jeffersontown High School,"9600 Old Six Mile Lane, , JEFFERSONTOWN, KY  40299",JEFFERSONTOWN,JEFFERSON,KY,40299,-85.75154,38.256065,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:46310,"Evacuation Capacity: 210

Longterm Capacity: 0",false,Unknown,false,"",true
Cardinal Valley Elementary School,"218 Mandalay Road, , Lexington, KY  40504",Lexington,Fayette,KY,40504,-84.54419305,38.05474064,8593813340,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46737,"Evacuation Capacity: 50

Longterm Capacity: 25",false,Unknown,false,"",true
Clays Mill Elementary School,"2319 CLAYS MILL ROAD, , Lexington, KY  40503",Lexington,Fayette,KY,40503,-84.53548571,38.01809271,8593813355,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46739,"Evacuation Capacity: 170

Longterm Capacity: 85",false,No,false,"",true
Immanuel Baptist Church,"3100 Tates Creek Road, , Lexington, KY  40502",Lexington,Fayette,KY,40502,-84.49579701,38.00506464,8592302140,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46741,"Evacuation Capacity: 1365

Longterm Capacity: 682",false,No,false,"",true
Millcreek Elementary School,"1212 Reva Ridge Way, , Lexington, KY  40517",Lexington,Fayette,KY,40517,-84.4885495,37.97653688,8593813527,no,"",SHAKEN_FURY_2019_BATCH_1_ID:46742,"Evacuation Capacity: 265

Longterm Capacity: 132",false,No,false,"",true
Rosedale Baptist Church,"411 Westover Ave, , Richmond, KY  40475",Richmond,Madison,KY,40475,-84.3085213,37.752735,8596231771,no,"",SHAKEN_FURY_2019_BATCH_1_ID:48196,"Evacuation Capacity: 150

Longterm Capacity: 75",false,No,false,"",true
Falling Springs Center,"275 Beasley Drive, , VERSAILLES, KY  40383",VERSAILLES,WOODFORD,KY,40383,-84.7608847,38.0477473,8598735948,no,"",SHAKEN_FURY_2019_BATCH_1_ID:48197,"Evacuation Capacity: 500

Longterm Capacity: 250",false,No,false,"",true
Marshall Co,"10 SCHOOLS, 1 FIRE DEPT, ROSS, KY  41059",ROSS,CAMPBELL,KY,41059,-84.333879,39.019729,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:48198,"Evacuation Capacity: 50

Longterm Capacity: 25",false,Unknown,false,"",true
New Harmony Baptist Church,"4817 Symsonia Hwy, , BENTON, KY  42025",BENTON,MARSHALL,KY,42025,-88.7914603,37.1220124,"",no,"General Notes: physical location as given by Ms. Byars is 4817 Symsonia Hwy Benton, KY 42025. This address also comes up on internet.",SHAKEN_FURY_2019_BATCH_1_ID:48199,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Russell Middle School,"137 Grove Street, , Russell, KY  41169",Russell,Greenup,KY,41169,-82.69446966,38.53375508,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:48486,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Southwest Calloway Elementary School,"3426 Wiswell Road West, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.38429424,36.58396369,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:48632,"Evacuation Capacity: 100

Longterm Capacity: 0",false,Unknown,false,"",true
Calloway County Middle School,"2112 College Farm Road, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.33866103,36.61742996,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:48637,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Camp Woodmen Of The World (W.O.W.),"93 Schwartz Road, , MURRAY, KY  42071",MURRAY,CALLOWAY,KY,42071,-88.31043194,36.64289822,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:48836,"Evacuation Capacity: 50

Longterm Capacity: 0",false,Unknown,false,"",true
North Calloway County Elementary School,"2928 Brinn Road, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.32430872,36.65229286,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:48837,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
St. Leo Catholic Church,"401 North 12th Street, , MURRAY, KY  42071",MURRAY,CALLOWAY,KY,42071,-88.31515482,36.61556737,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:49049,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
South Elkhorn Baptist Church,"4867 Versailles Road, , Lexington, KY  40510",Lexington,Fayette,KY,40510,-84.62276219,38.04303227,8592545264,no,"",SHAKEN_FURY_2019_BATCH_1_ID:49073,"Evacuation Capacity: 40

Longterm Capacity: 20",false,No,false,"",true
Rev. Henry E. Baker Intermediate School,"1645 Martin Luther King Jr. Drive, , Winchester, KY  40391",Winchester,Clark,KY,40391,-84.1796503,37.990079,8597455190,no,"",SHAKEN_FURY_2019_BATCH_1_ID:49074,"Evacuation Capacity: 50

Longterm Capacity: 25",false,No,false,"",true
First United Methodist Church,"503 Maple Street, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.30301751,36.60989148,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:49149,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Russell Chapel United Methodist Church,"HWY 732, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.2174167,36.6453872,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:49156,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Calloway County High School,"2108 College Farm Road A, , Murray, KY  42071",Murray,Calloway,KY,42071,-88.33852159,36.61742382,"",no,General Notes: This principal will be retiring at the end of school year and will need a new principal by end of May 2017.,SHAKEN_FURY_2019_BATCH_1_ID:49167,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Barkley Elementary School,"4720 Polk Road, , FORT CAMPBELL, KY  42223",FORT CAMPBELL,CHRISTIAN,KY,42223,-87.45618037,36.66200443,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:52489,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
Jackson Elementary School,"675 Mississippi Avenue, , FORT CAMPBELL, KY  42223",FORT CAMPBELL,CHRISTIAN,KY,42223,-87.4428951,36.6210693,"",no,"General Notes: Post Commander will open, staff, and run shelter with assistance from ARC. Due to access to Ft. Campbell to Military ID Card holders only.",SHAKEN_FURY_2019_BATCH_1_ID:52490,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
Lincoln Elementary School,"4718 Polk Road, , FORT CAMPBELL, KY  42223",FORT CAMPBELL,CHRISTIAN,KY,42223,-87.45598086,36.66206106,"",no,"General Notes: Post Commander will open, staff, and run shelter with assistance from ARC. Due to access to Ft. Campbell to Military ID Card holders only.",SHAKEN_FURY_2019_BATCH_1_ID:52491,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
Lucas Elementary School,"2115 Airborne Street, , FORT CAMPBELL, KY  42223",FORT CAMPBELL,CHRISTIAN,KY,42223,-87.446317,36.6274087,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:52492,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
Marshall Elementary School,"75 Texas Avenue, , FORT CAMPBELL, KY  42223",FORT CAMPBELL,CHRISTIAN,KY,42223,-87.4435666,36.64298908,"",no,"General Notes: Post Commander will open, staff, and run shelter with assistance from ARC. Due to access to Ft. Campbell to Military ID Card holders only.",SHAKEN_FURY_2019_BATCH_1_ID:52493,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
Mahaffey Middle School,"585 South Carolina Avenue, , FORT CAMPBELL, KY  42223",FORT CAMPBELL,CHRISTIAN,KY,42223,-87.44398397,36.64204381,"",no,"General Notes: Post Commander will open, staff, and run shelter with assistance from ARC. Due to access to Ft. Campbell to Military ID Card holders only.",SHAKEN_FURY_2019_BATCH_1_ID:52494,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
Wassom Middle School,"3066 Forrest Road, , Fort Campbell, KY  42223",Fort Campbell,Christian,KY,42223,-87.44212162,36.65407028,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:52495,"Evacuation Capacity: 0

Longterm Capacity: 150",false,Unknown,false,"",true
