field0001,field0002,field0003,field0004,field0005,field0006,field0007,field0008,field0009,field0010,field0011,field0012,field0013,field0014,field0015,field0016,field0017,field0018,field0019,field0020,field0021,field0022,field0023,field0024,field0025,field0026,field0027,field0028,field0029,field0030,field0031,field0032,field0033,field0034,field0035,field0036,field0061,field0062,field0063,field0064,field0065,field0066,field0067,field0068,field0069,field0070,field0071,field0072,field0073,field0074,field0075,field0076,field0077,field0078,field0079,field0080,field0084,field0085,field0086,field0087,field0088,field0089,field0090,field0091,field0092,field0093,field0094,field0095,field0096,field0097,field0098,field0099,field0100,field0101,field0102,field0103,field0104,field0105,field0106,field0107,field0108,field0109,field0110,field0111,field0112,field0113,field0114,field0115,field0116,field0117,field0118,field0119,field0120,field0121,field0122,field0123,field0124,field0125,field0126,field0127,field0128,field0129,field0130,field0131,field0132,field0133,field0134,field0135,field0136,field0137,field0138,field0139,field0140,field0141,field0142,field0143,field0144,field0145,field0146,field0147,field0148,field0149,field0150,field0151,field0152,field0153,field0154,field0155,field0156,field0157,field0158,field0159,field0160,field0161,field0162,field0163,field0164,field0165,field0166,field0167,field0168,field0169,field0170,field0171,field0172,field0173,field0174,field0175,field0176,field0177,field0178,field0179,field0180,field0181,field0182,field0183,field0184,field0185,field0186,field0187,field0188,field0189,field0190,field0191,field0192,field0193,field0194,field0195,field0196,field0197,field0198,field0199,field0200,field0201,field0202,field0203,field0204,field0205,field0206,field0207,field0208,field0209,field0210,field0211,field0212,field0213,field0214,field0215,field0216,field0217,field0218,field0219,field0220,field0221,field0222,field0223,field0224,field0225,field0226,field0227,field0228,field0229,field0230,field0231,field0232,field0233,field0234,field0235,field0236,field0237,field0238,field0239,field0240,field0241,field0242,field0243,field0244,field0245,field0246,field0247,field0248,field0249,field0250
139491,420748,17340,Kentucky Region,ARC,ARC Managed,,First Methodist Church,General,,NO,,1600,80,40,,Closed,B,105 Wellington St,,,HICKMAN,KY,FULTON,42050,1,,YES,105 Wellington St,,HICKMAN,KY,42050,,,,4,,-89.194675,36.57085,,NO,,,,Remapped 3/10/17 MAS NSS.,,,,06/28/2018 00:00:00 MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janine Brown,,05/02/2011 18:51:14 MDT,Dawn Carty,Kentucky Region,07/03/2018 09:24:58 MDT
139493,420748,17340,Kentucky Region,Other,Independent,,Ohio Valley Baptist Church,General,,NO,,1000,50,0,,Closed,E,538 Hazlewood Road,,,BARLOW,KY,BALLARD,42024,1,,YES,538 Hazlewood Road,,BARLOW,KY,42024,,,,4,,-89.0011607,37.0817074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandra Jozic,,05/02/2011 21:00:52 MDT,Dawn Carty,Kentucky Region,02/16/2017 12:02:35 MST
139501,420748,17340,Kentucky Region,ARC,ARC Managed,,Altona Baptist Church,General,,NO,,1500,75,37,,Closed,B,5827 US HWY 62 W,,,CALVERT CITY,KY,MARSHALL,42029,1,,YES,5827 US HWY 62 W,,CALVERT CITY,KY,42029,2703954342,,,4,,-88.3587261,37.0042872,,,,NO,,,YES,YES,1/16/19,01/16/2019 00:00:00 MST,NO,,Either,,,Ari,,,,Disaster Program Specialist,,,,,,,,,1,,,,,The entire building designated Growth and Outreach Center is available for use.,,,NO,YES,NO,NO,NO,YES,NO,NO,2,,,NO,,,YES,YES,YES,,YES,,,0,,,,6,2,1,2,2,,,,,,,,YES,NO,,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,,,,125,Feeding/cafeteria is a separate area from the shelter area,YES,YES,YES,YES,,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,,1,31,,,,t,,t,,0,0,,,,NO,YES,YES,NO,NO,NO,NO,NO,,,,,NO,,Aleksandra Jozic,,05/03/2011 12:21:32 MDT,Ari Denson,Kentucky Region,02/07/2019 15:39:11 MST
139573,420748,17340,Kentucky Region,ARC,ARC Managed,,Dixon Community Center,General,,NO,Working on agreement/survey,1250,62,31,,Closed,B,101 State Route 132 East,,,DIXON,KY,WEBSTER,42409,1,,NO,,,,,,,,,4,,-87.6944286,37.5192795,,,,,"The Community Center is connected to the Webster County Library in Dixon, Ky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evelyn McCarty,,05/06/2011 07:21:35 MDT,Choysandra Perry,Kentucky Region,02/07/2017 11:51:32 MST
139597,420748,17340,Kentucky Region,Other,Independent,,Webb Memorial,General,,NO,Working on updated agreement/survey,1200,60,30,,Closed,B,370 State Route 109N,,,CLAY,KY,WEBSTER,42404,1,,NO,,,,,,,,,4,,-87.8246142,37.4815954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evelyn McCarty,,05/09/2011 16:09:16 MDT,Choysandra Perry,Kentucky Region,01/25/2017 12:45:08 MST
140110,420748,17340,Kentucky Region,ARC,ARC Managed,,Jeffersontown Senior Center,General,,NO,,3596,179,89,city hall,Closed,B,10631 Watterson Trail,,,JEFFERSONTOWN,KY,JEFFERSON,40299,3,,NO,10416 Watterson Trail,,JEFFERSONTOWN,KY,40299,5022678333,,5022670547,4,,-85.5616389,38.1968448,,NO,NO,NO,"There would be parking lot space for the Dept. of Animal Services trailer, and the pets would be able to relieve themselves outside.",,YES,YES,4/9/13,04/09/2013 00:00:00 MDT,NO,,Either,,,Janine,NO,,cell,Senior Director of Disaster Services,,Lydia Hignite,04/09/2013 00:00:00 MDT,Lydia Hignite,05/15/2013 00:00:00 MDT,Lydia Hignite,05/15/2013 00:00:00 MDT,NO,1,,,,,Second floor not available: shelter restricted to first floor.,cell,"Building Inspector, Dept. of Permitting and Code",NO,YES,NO,NO,NO,NO,NO,NO,,NO,,YES,NO,NO,YES,YES,YES,,YES,,NO,0,,no,Rec Cetner,6,4,8,4,4,,,Chris,Raque,Jeffersontown Office of Permitting and Code,5024453539,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,,55,40,95,Other seating located in the Card Room.,NO,YES,YES,YES,15 accessible spaces,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,Card Room could be turned into medical needs room/dorm if moved tables around.,1,,,,150,f,,t,,1,1,YES,NO,Only shelter workers will have access to laundry facilities.,YES,,NO,NO,NO,NO,NO,NO,,NO,,NO,YES,A team of city hall employees have expressed an interest in becoming trained in Red Cross sheltering/mass care.,Aleksandra Jozic,,07/01/2011 06:26:26 MDT,Lauri Martin,Kentucky Region,01/12/2019 18:58:39 MST
140111,420748,17340,Kentucky Region,ARC,ARC Managed,,UAW 862 Chamberlain Lane,General,,NO,,4698,234,117,main office,Closed,B,2702 Chamberlain Lane,,,LOUISVILLE,KY,JEFFERSON,40245,3,,YES,2702 Chamberlain Lane,,LOUISVILLE,KY,40245,5022419491,,5029698824,4,,-85.5171704,38.2883703,,NO,NO,NO,See Google maps.,,YES,YES,4/16/13,04/16/2013 00:00:00 MDT,NO,,Either,,NA,Janine,,,cell,Senior Director of Disaster Services,NO,Lydia Hignite,04/16/2013 00:00:00 MDT,Lydia Hignite,07/18/2013 00:00:00 MDT,,,NO,1,,,,,Use for up to 30 days only,cell,President,NO,YES,NO,NO,YES,NO,NO,NO,,NO,,,,,YES,YES,,,,,NO,6,NO,,,4,1,4,2,2,,,Todd,Dunn,UAW Local 862,5026080442,,YES,NO,,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,,,,0,"No eating areas. Kitchen has a stove, refrigerator and double sink",YES,YES,YES,YES,4 accessible spaces.,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,,0,0,,,,f,,f,,0,0,,,,YES,,NO,NO,YES,NO,NO,NO,,NO,,NO,NO,,Aleksandra Jozic,,07/01/2011 06:32:09 MDT,Lauri Martin,Kentucky Region,01/12/2019 19:10:53 MST
140138,420748,17340,Kentucky Region,ARC,ARC Partner,,Convington Baptist Church,General,,NO,,3200,160,80,,Closed,B,2231 West Hwy 524,,,WESTPORT,KY,OLDHAM,40077,3,Oldham County,NO,1217 East Hwy 524,,LAGRANGE,KY,40031,,,,4,,-85.4005489,38.4981178,,,,NO,From Hwy 42 go west on Hwy 524 3 miles; church at intersection of hwy 524 west and Covington Ridge Cutoff (1488),,YES,,5/23/11,05/23/2011 00:00:00 MDT,NO,,Either,,,,,,,,,,,,,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,YES,NO,NO,,,,NO,0,,,,2,2,2,1,1,1,1,,,,,,YES,NO,,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,,,60,,fellowship hall seats 60; sunday school rooms=80; snactuary=80,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandra Jozic,,07/05/2011 09:04:56 MDT,Paul Kern,Kentucky Region,10/20/2015 06:53:07 MDT
140987,420748,17340,Kentucky Region,ARC,ARC Managed,,Teamsters Local 89,General,,NO,,8295,414,207,,Closed,B,3813 Taylor Boulevard,,,LOUISVILLE,KY,JEFFERSON,40215,3,JCPS,YES,3813 Taylor Boulevard,,LOUISVILLE,KY,40215,5023685885,,,4,,-85.7834669,38.1889341,,NO,YES,NO,Just south of waterson exp (I0264) at Taylor Blvd,,YES,,7/15/11,,NO,,Either,,,Tim,,,,,NO,,,,,,,NO,1,,,,,,,,NO,YES,NO,NO,NO,NO,NO,NO,2,NO,,NO,,,YES,NO,YES,manual,YES,,NO,0,,,,7,2,9,6,3,,,,,,,,YES,NO,,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,,,300,,,,,,,,,,,NO,,,,,,,,,,,YES,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandra Jozic,,08/10/2011 07:23:08 MDT,Lauri Martin,Kentucky Region,01/12/2019 19:06:44 MST
140989,420748,17340,Kentucky Region,ARC,ARC Managed,,Casey County High School,General,,NO,,10000,500,250,,Closed,B,1841 E KY 70,,,LIBERTY,KY,CASEY,42539,6,Casey County,NO,1922 N US127,,LIBERTY,KY,42539,6067876151,,,4,,-84.9201694,37.3204973,,NO,NO,NO,,,NO,NO,1/25/11,02/04/2019 00:00:00 MST,NO,,Either,,,Amanda,NO,,,ARC DPM,NO,Kerry Graul,01/25/2011 00:00:00 MST,Kerry Graul,08/10/2011 00:00:00 MDT,,,NO,3,08/15/2011 00:00:01 MDT,05/31/2011 00:00:01 MDT,,,Facility cannot be used when school is in session.,,,NO,YES,NO,NO,YES,NO,NO,NO,,NO,,NO,NO,NO,YES,YES,YES,,YES,,NO,2,,,,,0,5,5,5,,2,,,Casey County Fire Department,,,NO,NO,,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,,300,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,NO,NO,,YES,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,0,,NO,NO,,NO,YES,YES,NO,NO,NO,NO,NO,,NO,,NO,NO,,Kerry Graul,,08/10/2011 12:19:35 MDT,John Davies,Kentucky Region,02/08/2019 09:03:50 MST
140992,420748,17340,Kentucky Region,ARC,ARC Managed,,Boones Creek Baptist Church,General,,NO,,8000,400,200,,Closed,B,1306 Trapp-Goffs Corner Rd.,,,WINCHESTER,KY,CLARK,40391,5,,NO,PO Box 537,,WINCHESTER,KY,40392,8597440037,,,4,,-84.051284,37.8868153,,NO,NO,NO,Follow US 60E in Winchester. Turn left on Main Street. Go right on Washington St. 10 miles to Trapp Elementary School and turn left. Follow on this road for 1-1.5 miles. The camp is on the left.,,NO,NO,8/10/11,10/01/2018 00:00:00 MDT,NO,,Either,,,Kerry,NO,,,,NO,Peggy Toy,,Kerry Graul,08/10/2011 00:00:00 MDT,,,NO,1,,,,,,,,NO,NO,NO,NO,YES,YES,NO,NO,,YES,Gymnasium,NO,NO,NO,YES,NO,YES,,NO,,NO,6,NO,,,3,1,4,2,2,,,,,Clark County Fire Department,,,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,,,202,202,,,,,,,,,,YES,,,,,,,,,,,NO,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,2,2,YES,NO,,NO,NO,YES,NO,YES,NO,NO,NO,,NO,,NO,NO,,Kerry Graul,,08/10/2011 13:27:49 MDT,John Davies,Kentucky Region,10/01/2018 09:55:25 MDT
141052,420748,17340,Kentucky Region,ARC,ARC Managed,,Gateway Christian Chruch,General,,NO,,6000,300,150,,Closed,B,801 Winchester Road,,,MOUNT STERLING,KY,MONTGOMERY,40353,7,,YES,801 Winchester Road,,MOUNT STERLING,KY,40353,8594983876,,,4,,-83.9608873,38.053418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Wilson,,08/16/2011 12:44:11 MDT,Jeffrey Wilson,Kentucky Region,01/20/2017 10:15:25 MST
141101,420748,17340,Kentucky Region,ARC,ARC Managed,,Harrison County MIddle School,General,,NO,,5000,250,125,,Closed,B,269 Education Dr,,,CYNTHIANA,KY,HARRISON,41031,5,,YES,269 Education Dr,,CYNTHIANA,KY,41031,8592347123,,,4,4,-84.2920369,38.3814893,,NO,NO,NO,,,NO,NO,5/24/11,05/24/2011 00:00:00 MDT,,,,,,Sarah,NO,,,Disaster Coordinator,NO,Sarah Terry,05/24/2011 00:00:00 MDT,Kerry Graul,08/19/2011 00:00:00 MDT,,,NO,2,08/15/2011 00:00:01 MDT,05/31/2012 00:00:01 MDT,,,When school is not in session,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,NO,NO,YES,NO,YES,manual,NO,,NO,1,YES,,,28,3,10,,,,,,,Harrison County Fire Department,,,NO,YES,Power for entire SH,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,,300,,300,,,,,,,,,,YES,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,0,0,NO,NO,,NO,YES,YES,NO,NO,NO,NO,NO,,NO,,NO,NO,,Kerry Graul,,08/19/2011 13:29:17 MDT,John Davies,Kentucky Region,08/07/2017 08:03:28 MDT
141102,420748,17340,Kentucky Region,ARC,ARC Managed,,Southside Elementary School,General,,NO,,5000,250,125,,Closed,B,106 Education Drive,,,CYNTHIANA,KY,HARRISON,41031,5,,YES,106 Education Drive,,CYNTHIANA,KY,41031,8592347120,,,4,4,-84.2920369,38.3814893,,NO,NO,NO,,,NO,NO,5/24/11,05/24/2011 00:00:00 MDT,NO,,Either,,,Sarah,NO,,,Disaster Coordinator,NO,Sarah Terry,05/24/2011 00:00:00 MDT,Kerry Graul,08/19/2011 00:00:00 MDT,,,NO,2,08/15/2011 00:00:01 MDT,05/31/2012 00:00:01 MDT,,,Facility only available when school is not in session.,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,NO,NO,NO,YES,NO,YES,manual,NO,,NO,5,NO,,,18,3,14,7,7,,,,,Harrison County Fire Department,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,,200,,,,,,,,,,,,YES,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,NO,NO,,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,Kerry Graul,,08/19/2011 13:45:47 MDT,John Davies,Kentucky Region,08/07/2017 08:02:49 MDT
141114,420748,17340,Kentucky Region,ARC,ARC Managed,,Jessamine Career/Technology Center,General,,NO,,5000,250,125,,Closed,B,881 Wilmore Rd.,,,NICHOLASVILLE,KY,JESSAMINE,40356,5,,NO,117 South Main Street,,NICHOLASVILLE,KY,40356,8598818324,,,4,4,-84.5924758,37.8827699,,NO,NO,NO,Intersection of Hwy 29 and the bypass.,,NO,NO,10/14/08,03/14/2018 00:00:00 MDT,NO,,,,,Sarah,NO,,,Disaster Coordinator,NO,Kerry Graul,10/14/2008 00:00:00 MDT,Kerry Graul,08/22/2011 00:00:00 MDT,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,YES,NO,NO,YES,YES,YES,manual,YES,,NO,0,,Portable,,8,0,8,4,4,,,,,Jessamine County Fire Department,,,NO,YES,"Auto start, 24 hrs",YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,,300,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,YES,NO,,NO,NO,YES,NO,,,,,,,,,,,Kerry Graul,,08/22/2011 13:54:12 MDT,John Davies,Kentucky Region,03/21/2018 09:34:39 MDT
141124,420748,17340,Kentucky Region,ARC,ARC Managed,,Warrior Activity Center,General,,NO,,,1,1,,Closed,B,297 West Broadway,,,EMINENCE,KY,HENRY,40019,4,Eminence Independent Schools,NO,,,,,,,,,4,,-85.1845022,38.3725202,,,,,,,,,,,NO,,Either,,,Angela,,,,Area Disaster Directoe,,,,,,,,,1,,,,,"Facility is available year round, but conflicts could occur during the school year.",,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel Price,,08/23/2011 08:17:19 MDT,Paul Kern,Kentucky Region,10/06/2015 13:11:03 MDT
141125,420748,17340,Kentucky Region,ARC,ARC Managed,,Brookside Elementary School,General,,NO,,5200,260,130,,Closed,B,199 Brookside Dr.,,,NICHOLASVILLE,KY,JESSAMINE,40356,5,,NO,117 S. Main Street,,NICHOLASVILLE,KY,40356,8598872012,,,4,,-84.5889702,37.8873385,,NO,NO,NO,,,NO,NO,10/14/08,03/14/2018 00:00:00 MDT,NO,,Either,,,Sarah,NO,,,Disaster Coordinator,NO,Kerry Graul,10/14/2008 00:00:00 MDT,Kerry Graul,08/23/2011 00:00:00 MDT,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,NO,NO,NO,YES,YES,YES,,YES,,NO,0,,,,12,2,12,6,6,1,,,,Jessamine County Fire Department,,,NO,YES,"Auto Start, 24 hours, lighting/food service",YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,,500,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,,NO,,NO,NO,,Kerry Graul,,08/23/2011 08:59:06 MDT,John Davies,Kentucky Region,03/21/2018 09:33:42 MDT
141126,420748,17340,Kentucky Region,ARC,ARC Managed,,East Jessamine High School,General,,NO,,11502,575,287,,Closed,B,815 Sulphur Well Rd,,,NICHOLASVILLE,KY,JESSAMINE,40356,5,,NO,117 S Main St.,,NICHOLASVILLE,KY,40356,8598857240,,,4,4,-84.5543151,37.8764945,,NO,NO,NO,,,NO,NO,10/14/08,03/14/2018 00:00:00 MDT,NO,,Either,,,Sarah,NO,,,Disaster Coordinator,NO,Stan Logdon,10/14/2008 00:00:00 MDT,Kerry Graul,08/23/2011 00:00:00 MDT,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,NO,NO,NO,YES,YES,YES,,YES,,NO,6,NO,,,30,2,30,14,14,2,,,,Jessamine County Fire Departmnet,,,NO,YES,"Auto Start, 24 hours",YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,,500,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,1,1,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,,NO,,NO,NO,,Kerry Graul,,08/23/2011 09:14:36 MDT,John Davies,Kentucky Region,03/21/2018 09:34:01 MDT
141144,420748,17340,Kentucky Region,ARC,ARC Managed,,East Jessamine Middle School,General,,NO,,6500,325,162,,Closed,B,901 Union Mill Road,,,NICHOLASVILLE,KY,JESSAMINE,40356,5,,NO,117 S. Main Street,,NICHOLASVILLE,KY,40356,8598855561,,,4,4,-84.5917673,37.8827496,,NO,NO,NO,,,NO,NO,10/14/08,03/14/2018 00:00:00 MDT,NO,,Either,,,Sarah,NO,,,Disaster Coordinator,NO,Stan Logdon,10/14/2008 00:00:00 MDT,Kerry Graul,08/24/2011 00:00:00 MDT,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,NO,NO,NO,YES,NO,YES,,YES,,NO,4,,,,60,2,60,28,30,2,,,,Jessamine County Fire Department,,,NO,YES,"Auto start, 24 hours",NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,,350,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,1,1,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,Kerry Graul,,08/24/2011 08:07:13 MDT,John Davies,Kentucky Region,03/21/2018 09:34:21 MDT
141148,420748,17340,Kentucky Region,ARC,ARC Managed,,Jessamine Early Learning Village,General,,NO,,5006,250,125,,Closed,B,851 Wilmore Rd.,,,NICHOLASVILLE,KY,JESSAMINE,40356,5,,NO,117 S. Main Street,,NICHOLASVILLE,KY,40356,8598875358,,,4,4,-84.5917673,37.8827496,,NO,NO,NO,,,NO,NO,10/14/08,03/14/2018 00:00:00 MDT,NO,,Either,,,Sarah,NO,,,Disaster Coordinator,NO,Stan Logdon,10/14/2008 00:00:00 MDT,Kerry Graul,08/24/2011 00:00:00 MDT,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,NO,NO,NO,YES,YES,YES,,YES,,NO,0,NO,,,34,2,34,15,15,2,,,,Jessamine County Fire Department,,,NO,YES,"Auto start, 24 hours",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,,300,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,1,1,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,Kerry Graul,,08/24/2011 08:39:23 MDT,John Davies,Kentucky Region,03/21/2018 09:35:00 MDT
141154,420748,17340,Kentucky Region,ARC,ARC Managed,,Nicholasville Elementary School,General,,NO,,2769,138,69,,Closed,B,414 West Maple St,,,NICHOLASVILLE,KY,JESSAMINE,40356,5,,NO,117 S. Main St.,,NICHOLASVILLE,KY,40356,8598855351,,,4,4,-84.5783911,37.8810718,,NO,NO,NO,,,NO,NO,10/14/08,03/14/2018 00:00:00 MDT,NO,,Either,,,Sarah,NO,,,Disaster Coordinator,NO,Stan Logdon,10/14/2008 00:00:00 MDT,Kerry Graul,08/24/2011 00:00:00 MDT,,,YES,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,NO,NO,NO,YES,YES,YES,,YES,,NO,0,,,,28,2,28,14,14,,,,,Jessamine County Fire Department,,,NO,YES,"Auto Start, 24 hours",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,,300,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,Kerry Graul,,08/24/2011 13:02:59 MDT,John Davies,Kentucky Region,03/21/2018 09:35:16 MDT
